Job ID,Title,Company,Location,Description,Date
3794709118,Deep Learning Solution Architect,NVIDIA,"Beijing, Beijing, China","Deep Learning Solution Architect
NVIDIA
Beijing, Beijing, China
Actively recruiting
1 week ago
3 applicants",2024/01/21
3802968877,Quality Designer (Data),Electronic Arts (EA),"Shanghai, Shanghai, China (Hybrid)","Quality Designer (Data)
Electronic Arts (EA)
Shanghai, Shanghai, China (Hybrid)
Actively recruiting
2 weeks ago
3 applicants",2024/01/21
3811667221,eData Analyst,NielsenIQ,"Seoul, Seoul, South Korea (On-site)","eData Analyst
NielsenIQ
Seoul, Seoul, South Korea (On-site)
Actively recruiting
5 days ago
7 applicants",2024/01/21
3800544955,Senior Applied Scientist- MSAI,Microsoft,"Suzhou, Jiangsu, China (Hybrid)","Senior Applied Scientist- MSAI
Microsoft
Suzhou, Jiangsu, China (Hybrid)
Actively recruiting
2 weeks ago
0 applicants",2024/01/21
3776516561,"Research Intern, Design Automation",NVIDIA,"Hsinchu City, Taiwan, Taiwan","Research Intern, Design Automation
NVIDIA
Hsinchu City, Taiwan, Taiwan
Actively recruiting
2 weeks ago
15 applicants",2024/01/21
3808464945,Online Data Analyst,TELUS International,"Toyonaka, Osaka, Japan (Remote)","Online Data Analyst
TELUS International
Toyonaka, Osaka, Japan (Remote)
Actively recruiting
1 week ago
1 applicant",2024/01/21
3786187844,"People Experience & Technology (PXT) Intern, PXT",Amazon,"Beijing, Beijing, China","People Experience & Technology (PXT) Intern, PXT
Amazon
Beijing, Beijing, China
Actively recruiting
2 weeks ago
2 applicants",2024/01/21
3778886044,Data Engineer Expert (Gen AI),Avanade,"Tokyo, Tokyo, Japan","Data Engineer Expert (Gen AI)
Avanade
Tokyo, Tokyo, Japan
Actively recruiting
4 days ago
9 applicants",2024/01/24
3806650342,DATA SCIENCE ENGINEER - SMART MFG & AI,Micron Technology,"Taichung City, Taichung City, Taiwan","DATA SCIENCE ENGINEER - SMART MFG & AI
Micron Technology
Taichung City, Taichung City, Taiwan
Actively recruiting
1 week ago
2 applicants",2024/01/24
3788638086,"【AstraZeneca】【IDS】Cloud Data Operations Lead, Data AI & Innovation CoE",AstraZeneca,"Minato, Tokyo, Japan (On-site)","【AstraZeneca】【IDS】Cloud Data Operations Lead, Data AI & Innovation CoE
AstraZeneca
Minato, Tokyo, Japan (On-site)
Actively recruiting
2 weeks ago
3 applicants",2024/01/24
